name,id,brand,brand_id,price,sale_price,image_key
"Peanut Massage Ball, Double Lacrosse Massage Roller Ball for Deep Tissue Muscle Massage, Physical Therapy, Acupoint Myofascial Release, Trigger Points, Muscle Knots, and Yoga Therapy (Pink) ",ZE76375906E23AFA8BEB3Z,Generic,generic,48.0,36.55,pzsku/ZE76375906E23AFA8BEB3Z/45/_/1694741822/70ff6ebe-212f-4b76-816d-99843a5a84fc
"Sit-up Bar With Yoga Mat,Adjustable Push-up Bar With Non-slip Mat For Yoga Pilates Fitness,Portable Sit-up Equipment,Multifunction Abdominal Exercise,Floor Mounted Sit Up Device ",Z8AA76A37502FFA504022Z,RIOXS,rioxs,95.0,64.8,pzsku/Z8AA76A37502FFA504022Z/45/_/1731581816/70f58f7b-7a79-410f-9905-67ec1a434b6a
Yoga Pilates Mats 10mm ,N44861472A,Generic,generic,54.0,54.0,v1614686861/N44861472A_1
Portable Cotton Yoga Mat Sling Belt Strap Shoulder Carrier Fitness Supplies ,N42326406A,Generic,generic,25.0,20.0,v1605338268/N42326406A_1
Training Mat - 7Mm - Blue ,Z98567565301E0E20EAF0Z,Reebok,reebok,110.0,74.0,pzsku/Z98567565301E0E20EAF0Z/45/_/1720586980/e862ecdf-143d-405e-a928-40fd36ff33a9
Waist Trimmer for Men Belly Fat Burner Trainer Unisex Workout Neoprene Belt Body Shaper Women Sculpting Back Support and Improved Posture XL ,Z8546FFFC954E5FCA9506Z,Y&D,y_and_d,59.0,37.75,pzsku/Z8546FFFC954E5FCA9506Z/45/_/1665398271/dc6728b1-ab26-497e-b8a8-972bc3c6ff86
"Cooling Sport Towel, Cold Technology Fabric Towel, Cold Breathable Towel, Chilly Rags for Neck Sweat Towels for Gym Yoga Golf Tennis, Workout Towel, 100*30CM ",ZD64221B36EC417E8C8E9Z,Generic,generic,29.0,29.0,pzsku/ZD64221B36EC417E8C8E9Z/45/_/1726650583/3fc9ae7f-eb74-4214-a236-2e70ea1f07dc
4Mm Yoga Mat ,Z5A00200A1A8412A43DDCZ,Gaiam,gaiam,125.0,34.0,pzsku/Z5A00200A1A8412A43DDCZ/45/_/1694568828/5df34bbb-b288-4d21-a089-9359c7776a75
Yoga Mat - 4MM ,Z0B890FB207D88CE803BCZ,Reebok,reebok,100.0,59.0,pzsku/Z0B890FB207D88CE803BCZ/45/_/1698984215/973256ee-5b4e-40a3-a3ca-d5e87b598629
Foldable Non-Slip Yoga Mat ,N34539042A,yoga mat,yoga_mat,32.35,27.9,v1582181056/N34539042A_1
Liyaqh Mat ,N32184845A,Generic,generic,39.55,39.55,v1575098449/N32184845A_1
"Tension Elastic Training Yoga Mat Length: Approx. 1.5m / 59inch
Width: Approx. 15.3cm / 6inchcm ",N22874581A,Generic,generic,30.0,27.0,v1554129372/N22874581A_1
"COOLBABY 1Pcs Adjustable Yoga Mat Carrier, Yoga Mat Strap, Yoga Mat Sling Durable Cotton Texture (Black） ",Z0D449281F2D7CFBF2C62Z,Cool Baby Style,cool_baby_style,23.0,19.6,pzsku/Z0D449281F2D7CFBF2C62Z/45/_/1661610693/669f2ef9-e6bf-48ea-aaae-c071f69cc9e2
Yoga Gym Swiss Ball 75cm 75cm ,N16620092A,Generic,generic,48.95,32.85,v1535690438/N16620092A_1
Yoga Brick 150grams ,N11005260A,BODY SCULPTURE,body_sculpture,50.0,26.15,v1676460014/N11005260A_1
Dance Lower Waist Trainer Bend Lower Waist Divine Tool Yoga Stretching Band Straight Horse Invert Split Leg Pressing and Tensioning Band ,Z5A0F225753EE9FF54417Z,Arabest,arabest,50.0,50.0,pzsku/Z5A0F225753EE9FF54417Z/45/_/1699942168/4e0f2d4a-4b93-47f9-b50b-a295dff5e9a9
Tie Dye Yoga Mat 4mm ,Z680898E008CB4392FEBCZ,Gaiam,gaiam,165.0,79.0,pzsku/Z680898E008CB4392FEBCZ/45/_/1652430609/dcba6972-27c3-4efd-9cb8-473b250516cb
"MahMir® Yoga Wheel Yoga Circles Pilates Professional Waist Shape Gym Workout Yoga Wheel Back Training Tool F or Fitness, Perfect for Stretching and Improving BackBends, ",Z9D9F31BA336AF3127579Z,MahMir,mahmir,49.95,36.95,pzsku/Z9D9F31BA336AF3127579Z/45/_/1686484619/41fab510-6066-4245-ad26-75dd43ad109e
